7zip 25.01-1
libmm-glib 1.24.2-1
libmms 0.6.4-5
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpdclient 2.23-1
libmpeg2 0.5.1-11
libmspack 1:1.11-1
libmspub 0.1.4-18
libmtp 1.1.22-1
libmwaw 0.3.22-3
libmysofa 1.3.3-1
libnautilus-extension 49.2-1
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.0-1
libnghttp2 1.68.0-1
libnghttp3 1.13.1-1
libnice 0.1.23-1
libnl 3.11.0-1
libnm 1.54.2-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.7-1
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libnvme 1.16.1-1
libodfgen 0.1.8-5
libogg 1.3.6-1
liboggz 1.1.3-1
libopenmpt 0.8.3-1
liborcus 0.21.0-2
libp11-kit 0.25.10-2
libpagemaker 0.0.4-4
libpaper 2.2.6-1
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpeas 1.36.0-7
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.4.9-1
libplacebo 7.351.0-3
libplist 2.7.0-1
libpng 1.6.51-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r93+gbe2efb69b-1
libpwquality 1.4.5-6
libqxp 0.0.2-14
libraqm 0.10.3-1
libraw1394 2.1.2-4
libreoffice-fresh 25.8.3-2
librevenge 0.0.5-3
librsvg 2:2.61.3-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsidplayfp 2.15.2-1
libsigc++-3.0 3.6.0-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.20-1
libsoup 2.74.3-4
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libssh 0.11.3-1
libssh2 1.11.1-1
libstaroffice 0.0.7-4
libstemmer 3.0.1-1
libsynctex 2025.2-3
libsysprof-capture 49.0-1
libtar 1.2.20-7
libtasn1 4.20.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.1-1
libtiger 0.3.4-8
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.0-1
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.2-1
libupnp 1.14.25-1
liburing 2.12-1
libusb 1.0.29-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.1-1
libuv 1.51.0-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvisio 0.1.10-2
libvlc 3.0.21-31
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.2-2
libwacom 2.17.0-1
libwbclient 2:4.23.3-2
libwebp 1.6.0-2
libwireplumber 0.5.12-1
libwpd 0.10.3-5
libwps 0.4.14-3
libx11 1.8.12-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.13.0-1
libxkbcommon-x11 1.13.0-1
libxkbfile 1.1.3-1
libxklavier 5.4-7
libxml2 2.15.1-4
libxmlb 0.3.24-1
libxmu 1.2.1-1
libxnvctrl 580.105.08-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzmf 0.0.2-19
licenses 20240728-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lilv 0.24.26-1
linux 6.17.9.arch1-1
linux-api-headers 6.17-1
linux-firmware 20251111-1
linux-firmware-amdgpu 20251111-1
linux-firmware-atheros 20251111-1
linux-firmware-broadcom 20251111-1
linux-firmware-cirrus 20251111-1
linux-firmware-intel 20251111-1
linux-firmware-mediatek 20251111-1
linux-firmware-nvidia 20251111-1
linux-firmware-other 20251111-1
linux-firmware-radeon 20251111-1
linux-firmware-realtek 20251111-1
linux-firmware-whence 20251111-1
lirc 1:0.10.2-5
live-media 2025.05.24-1
lld 21.1.6-1
lld19 19.1.7-2
llvm 21.1.6-1
llvm-libs 21.1.6-1
llvm19-libs 19.1.7-2
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lua 5.4.8-2
lv2 1.18.10-2
lxappearance 0.6.4-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
man-pages 6.16-1
mangohud 0.8.1-1
md4c 0.5.2-1
mdadm 4.4-2
memtest_vulkan 0.5.0-1
mesa 1:25.2.7-1
meson 1.9.1-2
mingw-w64-binutils 2.45-1
mingw-w64-crt 13.0.0-1
mingw-w64-gcc 15.2.0-1
mingw-w64-headers 13.0.0-1
mingw-w64-winpthreads 13.0.0-1
mkinitcpio 40-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpd 0.24.6-2
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.3-1
mtdev 1.1.7-1
muffin 6.4.1-1
nano 8.7-1
ncurses 6.5-4
nemo 6.4.5-1
nemo-fileroller 6.4.0-3
neofetch 7.1.0-2
neon 0.36.0-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.2-1
nftables 1:1.1.5-1
ninja 1.13.2-1
nm-connection-editor 1.36.0-1
npth 1.8-1
nspr 4.38.2-1
nss 3.118.1-1
occt 15.0.7-1
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
openal 1.24.3-2
openbsd-netcat 1.234_1-1
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openssh 10.2p1-2
openssl 3.6.0-1
opus 1.5.2-1
orc 0.4.41-1
ostree 2025.7-1
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20251021-1
pam 1.7.1-1
pambase 20250719-1
pango 1:1.57.0-2
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
perl 5.42.0-1
perl-error 0.17030-2
perl-image-exiftool 13.36-1
perl-mailtools 2.22-2
perl-timedate 2.33-8
picom 12.5-3
pinentry 1.3.2-2
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-audio 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
pixman 0.46.4-1
pkgconf 2.5.1-1
polkit 126-2
polkit-gnome 0.105-12
poppler 25.11.0-1
poppler-data 0.4.12-2
poppler-glib 25.11.0-1
popt 1.19-2
portaudio 1:19.7.0-3
powertop 2.15-2
procps-ng 4.0.5-3
projectm 3.1.12-5
protobuf 33.0-2
psensor 1.2.1-4
psmisc 23.7-1
python 3.13.7-1
python-atspi 2.58.0-1
python-cairo 1.29.0-1
python-certifi 2025.11.12-1
python-charset-normalizer 3.4.4-1
python-contourpy 1.3.3-1
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-fonttools 4.60.1-1
python-gobject 3.54.5-1
python-idna 3.11-1
python-kiwisolver 1.4.7-1
python-lxml 6.0.2-1
python-mako 1.3.10-1
python-markupsafe 3.0.2-1
python-matplotlib 3.10.8-1
python-numpy 2.3.5-1
python-packaging 25.0-1
python-pam 2.0.2-5
python-pexpect 4.9.0-4
python-pillow 12.0.0-2
python-ply 3.11-15
python-psutil 7.1.3-1
python-ptyprocess 0.7.0-8
python-pyaml 24.12.0-1
python-pycups 2.0.4-3
python-pyinotify 0.9.6-15
python-pyparsing 3.2.5-1
python-pytz 2025.2-1
python-requests 2.32.5-1
python-setproctitle 1.3.7-1
python-six 1.17.0-1
python-tinycss2 1.4.0-2
python-tqdm 4.67.1-2
python-urllib3 2.5.0-2
python-webencodings 0.5.1-12
python-wxpython 1:4.2.3-3
python-xapp 2.4.2-2
python-yaml 6.0.3-1
qca-qt6 2.3.10-4
qcustomplot 2.1.1-1
qhexedit2 0.8.9-2
qhull 2020.2-5
qscintilla-qt5 2.14.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r22-1
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt6-5compat 6.10.1-1
qt6-base 6.10.1-1
qt6-declarative 6.10.1-1
qt6-shadertools 6.10.1-1
qt6-svg 6.10.1-1
qt6-translations 6.10.1-1
qt6-wayland 6.10.1-1
qt6pas 6.2.10-2
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
raylib 5.5-1
readline 8.3.001-1
recode 3.7.15-1
redland 1:1.0.17-9
rhash 1.4.6-1
rmpc 0.10.0-1
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
run-parts 5.23.2-1
rust 1:1.91.1-2
rust-bindgen 0.72.1-1
sbc 2.1-1
sdl12-compat 1.2.68-2
sdl2-compat 2.32.58-1
sdl3 3.2.26-1
sdl_image 1.2.12-9
sed 4.9-3
sequoia-sqv 1.3.0-1
serd 0.32.6-1
shaderc 2025.4-2
shadow 4.18.0-1
shared-mime-info 2.4-2
signal-desktop 7.80.1-1
slang 2.3.3-4
smartmontools 7.5-1
smbclient 2:4.23.3-2
snappy 1.2.2-2
sndio 1.10.0-1
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-16
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-headers 1:1.4.328.1-4
spirv-llvm-translator 21.1.2-1
spirv-tools 1:1.4.328.1-1
spotify-launcher 0.6.3-2
sqlcipher 4.6.1-1
sqlite 3.51.0-1
sqlitebrowser 3.13.1-2
sratom 0.6.20-1
srt 1.5.4-1
startup-notification 0.12-9
steam 1.0.0.85-1
sudo 1.9.17.p2-1
svt-av1 3.1.2-1
system-config-printer 1.5.18-5
systemd 258.2-2
systemd-libs 258.2-2
systemd-sysvcompat 258.2-2
taglib 2.1.1-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.14-1
tela-circle-icon-theme-dracula 2025_02_10-1
tevent 1:0.17.1-1
texinfo 7.2-1
thunderbird 145.0-1
time 1.9-6
timeshift 25.07.7-1
timezonemap 0.4.5.2-2
tinysparql 3.10.1-2
tk 8.6.16-1
tpm2-tss 4.1.3-1
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
twolame 0.4.0-4
tzdata 2025b-1
udisks2 2.11.0-1
ufw 0.36.2-5
unzip 6.0-23
upower 1.90.10-1
usbutils 019-1
util-linux 2.41.2-1
util-linux-libs 2.41.2-1
v4l-utils 1.32.0-1
vapoursynth 72-1
vde2 2.3.3-8
vid.stab 1.1.1-2
vifm 0.14.3-2
vim 9.1.1908-1
vim-runtime 9.1.1908-1
vimix-cursors 2020_02_24-6
vlc 3.0.21-31
vlc-cli 3.0.21-31
vlc-gui-ncurses 3.0.21-31
vlc-gui-qt 3.0.21-31
vlc-plugin-a52dec 3.0.21-31
vlc-plugin-aalib 3.0.21-31
vlc-plugin-alsa 3.0.21-31
vlc-plugin-aom 3.0.21-31
